cupcake0_location0,juice0_location0,pancake0_location0,waterglass0_location0,cutleryfork0_location0,fridge_state0,dishwasher_state0,tv_state0,Act_A0,LocA_A0,Act_B0,LocA_B0,Close_B0,cupcake0_location1,juice0_location1,pancake0_location1,waterglass0_location1,cutleryfork0_location1,fridge_state1,dishwasher_state1,tv_state1,Act_A1,LocA_A1,Act_B1,LocA_B1,Close_B1,wineglass0_location0,wineglass0_location1,plate0_location0,plate0_location1,poundcake0_location0,poundcake0_location1
null,null,null,null,null,null,null,null,null,null,null,null,null,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_fridge149,kitchen,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_fridge149,kitchen,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_bedroom185,livingroom,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_fridge149,kitchen,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,None,null,null,null,null,null,null
INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_bedroom185,bathroom,walktowards_fridge149,kitchen,None,INSIDE_bedroom_ON_coffeetable,INSIDE_kitchen_INSIDE_fridge,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_INSIDE_kitchencabinet,INSIDE_kitchen_ON_kitchentable,CLOSED,CLOSED,OFF,walktowards_fridge149,kitchen,walktowards_fridge149,kitchen,kitchentable,null,null,null,null,null,null
